Platform: BigSoundBank | File: bigsoundbank_rain_thunder_0740.mp3 | Category: heavy_rain_thunder | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0740.mp3
Platform: MockPlatform | File: mock_thunder_storm_001.mp3 | Category: heavy_rain_thunder (Surface: pavement) | Tier: PublicDomain | License: CC0 | URL: https://example.com/thunder_sample.mp3
Platform: Mixkit | File: mixkit_light_rain_loop.temp_chunk005.wav | Category: gentle_drizzle (Surface: glass_window) | Tier: AttributionOnly | License: Mixkit Free License | URL: https://assets.mixkit.co/active_storage/sfx/1255/1255-preview.mp3
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk137.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk137.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk343.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk343.wav
Platform: BigSoundBank | File: bigsoundbank_rain_window_0124_chunk002.wav | Category: surface_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0124.mp3
Platform: RainAI-Acoustic-Archive | File: synth_puddle_shallow_chunk002.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/synth_puddle_shallow_chunk002.wav
Platform: RainAI-Acoustic-Archive | File: RainFallMedium PE1005201_chunk008.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/RainFallMedium PE1005201_chunk008.wav
Platform: SoundBible | File: soundbible_thunder_clap.temp_chunk002.wav | Category: heavy_rain_thunder (Surface: glass_window) | Tier: PublicDomain | License: Public Domain | URL: https://soundbible.com/grab.php?id=2215&type=mp3
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk138.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk138.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk030.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk030.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk049.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk049.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk452.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk452.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk248.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk248.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk386.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk386.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk124.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk124.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk184.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk184.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk269.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk269.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk211.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk211.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk368.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk368.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk437.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk437.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk059.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk059.wav
Platform: Mixkit | File: mixkit_light_rain_loop.temp_chunk007.wav | Category: gentle_drizzle (Surface: glass_window) | Tier: AttributionOnly | License: Mixkit Free License | URL: https://assets.mixkit.co/active_storage/sfx/1255/1255-preview.mp3
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk458.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk458.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk615.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk615.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk228.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk228.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk124.wav | Category: deep_water (Surface: deep_water) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk124.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk096.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk096.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk579.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk579.wav
Platform: RainAI-Acoustic-Archive | File: LightRainShowerLea PE560502_chunk042.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/LightRainShowerLea PE560502_chunk042.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk490.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk490.wav
Platform: BigSoundBank | File: bigsoundbank_rain_window_0124_chunk000.wav | Category: surface_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0124.mp3
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk495.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk495.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk084.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk084.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk189.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk189.wav
Platform: BigSoundBank | File: bigsoundbank_rain_window_0124_chunk005.wav | Category: surface_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0124.mp3
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk031.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk031.wav
Platform: RainAI-Acoustic-Archive | File: synth_pine_needles_chunk000.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/synth_pine_needles_chunk000.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk276.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk276.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk090.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk090.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk347.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk347.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk689.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk689.wav
Platform: RainAI-Acoustic-Archive | File: LightRainShowerLea PE560502_chunk023.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/LightRainShowerLea PE560502_chunk023.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk171.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk171.wav
Platform: BigSoundBank | File: bigsoundbank_rain_thunder_0740_chunk026.wav | Category: heavy_rain_thunder (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0740.mp3
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk058.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk058.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk168.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk168.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk146.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk146.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk110.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk110.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk063.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk063.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk058.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk058.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk283.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk283.wav
Platform: BigSoundBank | File: bigsoundbank_rain_thunder_0740_chunk030.wav | Category: heavy_rain_thunder (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0740.mp3
Platform: BigSoundBank | File: bigsoundbank_rain_pavement_1019_chunk035.wav | Category: surface_pavement (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/1019.mp3
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk595.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk595.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk044.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk044.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk115.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk115.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk247.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk247.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk528.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk528.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk370.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk370.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk100.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk100.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk052.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk052.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk518.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk518.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk375.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk375.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk588.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk588.wav
Platform: RainAI-Acoustic-Archive | File: synth_canvas_tent_chunk001.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/synth_canvas_tent_chunk001.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk023.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk023.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk202.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk202.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk651.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk651.wav
Platform: Mixkit | File: mixkit_light_rain_loop_chunk004.wav | Category: gentle_drizzle (Surface: glass_window) | Tier: AttributionOnly | License: Mixkit Free License | URL: https://assets.mixkit.co/active_storage/sfx/1255/1255-preview.mp3
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk381.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk381.wav
Platform: RainAI-Acoustic-Archive | File: LightRainShowerLea PE560502_chunk016.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/LightRainShowerLea PE560502_chunk016.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk125.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk125.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk634.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk634.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk094.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk094.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk421.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk421.wav
Platform: RainAI-Acoustic-Archive | File: JungleSouthAmerica EE201201_chunk019.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/JungleSouthAmerica EE201201_chunk019.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk480.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk480.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk543.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk543.wav
Platform: BigSoundBank | File: bigsoundbank_rain_thunder_0740_chunk003.wav | Category: heavy_rain_thunder (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: https://bigsoundbank.com/UPLOAD/mp3/0740.mp3
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk153.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk153.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk234.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk234.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk387.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk387.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk335.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk335.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk294.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk294.wav
Platform: RainAI-Acoustic-Archive | File: RainFallMedium PE1005201_chunk002.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/RainFallMedium PE1005201_chunk002.wav
Platform: RainAI-Acoustic-Archive | File: LightRainShowerLea PE560502_chunk044.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/LightRainShowerLea PE560502_chunk044.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk144.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk144.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk635.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk635.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk500.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk500.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk609.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk609.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk216.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk216.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk088.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk088.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk604.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk604.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk684.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk684.wav
Platform: RainAI-Acoustic-Archive | File: Summer thunderstorm in the woods_chunk062.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Summer thunderstorm in the woods_chunk062.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk320.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk320.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk300.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk300.wav
Platform: RainAI-Acoustic-Archive | File: Spring thunderstorm in surburbs_chunk194.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Spring thunderstorm in surburbs_chunk194.wav
Platform: RainAI-Acoustic-Archive | File: synth_pine_needles_chunk001.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/synth_pine_needles_chunk001.wav
Platform: RainAI-Acoustic-Archive | File: RainHeavyOnGlass PE051501_chunk023.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/RainHeavyOnGlass PE051501_chunk023.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk208.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk208.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk007.wav | Category: foliage (Surface: foliage) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk007.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk683.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk683.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk213.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk213.wav
Platform: RainAI-Acoustic-Archive | File: synth_urban_pavement_chunk000.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/synth_urban_pavement_chunk000.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk367.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk367.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk142.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk142.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk317.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk317.wav
Platform: RainAI-Acoustic-Archive | File: Good thunderstorm Sept 8 2022_chunk310.wav | Category: glass_window (Surface: glass_window) | Tier: PublicDomain | License: CC0 | URL: local://rainai/Good thunderstorm Sept 8 2022_chunk310.wav
